shape,carat,cut,color,clarity,table,depth,cert,price,x,y,z
Round,2.01,Ideal,G,IF,58.0,62.0,GIA,8587270,8.09,8.02,5.0
Emerald,20.28,Ideal,D,FL,67.0,60.9,GIA,3046290,17.32,14.5,8.83
Emerald,20.28,V.Good,D,FL,67.0,60.9,GIA,2980508,17.32,14.5,8.83
Round,20.32,Ideal,F,VVS1,55.0,61.6,GIA,2723138,17.64,17.55,10.83
Round,20.25,Ideal,D,VVS1,58.0,60.1,GIA,2693429,17.61,17.72,10.61
Round,20.25,Ideal,D,VVS1,58.0,60.1,GIA,2679980,17.72,17.61,10.61
Emerald,25.06,Ideal,F,VVS1,60.0,67.8,GIA,2236700,19.26,14.14,9.59
Emerald,25.06,Ideal,F,VVS1,60.0,67.8,GIA,2187116,19.26,14.14,9.59
Round,17.57,Ideal,E,FL,56.0,61.8,GIA,2031650,16.78,16.73,10.36
Round,20.25,Ideal,F,FL,57.0,61.1,GIA,2026690,17.68,17.57,10.76
Round,17.57,Ideal,E,FL,56.0,61.8,GIA,1980713,16.73,16.78,10.36
Round,20.25,Ideal,F,FL,57.0,61.1,GIA,1975867,17.57,17.68,10.76
Pear,17.11,Ideal,D,VS2,59.0,58.4,GIA,1841730,23.49,14.27,8.33
Pear,17.11,V.Good,D,VS2,59.0,58.4,GIA,1801875,23.49,14.27,8.33
Emerald,22.55,Good,H,VS1,68.0,58.2,GIA,1749463,17.1,15.98,9.31
Round,26.2,Ideal,F,VS1,58.0,61.5,GIA,1673590,19.17,19.11,11.77
Round,11.37,Ideal,D,IF,59.0,60.6,GIA,1646721,14.52,14.59,8.82
Round,11.37,Ideal,D,IF,59.0,60.6,GIA,1638550,14.59,14.52,8.82
Round,26.2,Ideal,F,VS1,58.0,61.5,GIA,1637954,19.11,19.17,11.77
Pear,11.42,V.Good,D,VVS2,55.0,63.0,GIA,1446418,18.69,12.67,7.98
Round,12.1,Ideal,F,IF,59.0,61.1,GIA,1343046,14.78,14.83,9.04
Round,10.51,Ideal,D,VVS2,60.0,60.4,GIA,1307332,14.18,14.28,8.59
Pear,11.16,Ideal,D,FL,58.0,61.5,GIA,1302620,19.71,12.63,7.76
Emerald,10.05,V.Good,D,IF,59.0,56.1,GIA,1277329,16.02,11.51,6.46
Pear,11.16,Ideal,D,FL,58.0,61.5,GIA,1269861,19.71,12.63,7.76
Asscher,16.06,Good,G,VVS2,69.0,57.7,GIA,1268047,15.49,15.34,8.85
Round,10.51,Ideal,D,VVS2,60.0,60.4,GIA,1232820,14.28,14.18,8.59
Round,12.1,Ideal,F,IF,59.0,61.1,GIA,1228882,14.78,14.83,9.04
Oval,11.28,V.Good,F,VVS2,64.0,60.2,GIA,1214944,20.03,12.59,7.58
Round,10.51,Ideal,D,VVS2,60.0,60.4,GIA,1202979,14.18,14.28,8.59
Round,8.58,Ideal,D,FL,60.0,59.9,GIA,1193828,13.38,13.3,7.98
Round,13.89,Ideal,G,IF,57.0,61.9,GIA,1154310,15.4,15.35,9.52
Asscher,16.06,V.Good,G,VVS2,69.0,57.7,GIA,1125760,15.49,15.34,8.85
Round,8.55,Ideal,D,FL,57.0,62.7,GIA,1076500,13.07,12.98,8.17
Round,9.71,Ideal,D,VVS1,56.0,62.4,GIA,1034080,13.68,13.63,8.52
Round,7.2,Ideal,D,FL,56.0,61.9,GIA,990171,12.4,12.31,7.65
Pear,11.42,Ideal,D,VVS2,55.0,63.0,GIA,981340,18.69,12.67,7.98
Pear,10.69,V.Good,F,IF,63.0,60.9,GIA,966584,20.07,12.5,7.62
Pear,11.42,Ideal,D,VVS2,55.0,63.0,GIA,959983,18.69,12.67,7.98
Round,12.32,Ideal,F,VVS1,57.0,62.1,GIA,955350,14.83,14.74,9.18
Emerald,9.26,Ideal,D,FL,64.0,70.3,GIA,941580,13.31,10.21,7.18
Round,12.32,Ideal,F,VVS1,57.0,62.1,GIA,931248,14.74,14.83,9.18
Pear,10.02,Ideal,D,VVS2,56.0,57.9,GIA,918140,21.66,11.4,6.6
Round,8.68,Ideal,E,IF,60.0,58.4,GIA,910452,13.61,13.56,7.94
Emerald,21.17,Good,I,VS1,51.0,69.0,GIA,910167,20.96,12.72,8.78
Round,8.88,Ideal,D,IF,58.0,59.6,GIA,908540,13.54,13.5,8.06
Pear,10.06,Good,D,VS1,57.0,60.2,GIA,893172,21.38,11.51,6.92
Pear,10.02,Good,D,VS1,56.0,58.1,GIA,889621,21.65,11.39,6.61
Emerald,10.01,V.Good,E,IF,69.0,68.0,GIA,886789,15.39,9.98,6.79
Round,20.1,Ideal,G,SI1,60.0,60.0,GIA,879360,17.62,17.57,10.55
Round,7.11,Ideal,D,FL,60.0,60.2,GIA,872200,12.51,12.46,7.51
Pear,8.16,Ideal,D,FL,62.0,60.0,GIA,870750,17.36,11.62,6.98
Pear,10.69,Ideal,F,IF,63.0,60.9,GIA,864980,20.07,12.5,7.62
Pear,10.04,Ideal,F,VVS1,58.0,63.2,GIA,850130,19.14,11.8,7.46
